School Year,County,Institution ID,BEDS Code,School Name,Affliation,PreK,HalfK,FullK,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,HS
2019-20,NEW YORK,800000048479,310100145301,IMMACULATE CONCEPTION SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,36,0,11,22,16,7,20,13,22,0,31,23,0,0,0,0,0
2019-20,NEW YORK,800000048480,310100145336,LA SALLE ACADEMY,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,88,76,70,75,309
2019-20,NEW YORK,800000048468,310100147414,ST GEORGE ACADEMY,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,30,16,17,14,77
2019-20,NEW YORK,800000048471,310100149439,CONNELLY CTR EDUCATION/HOLY CHILD MS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,16,19,20,0,18,17,0,0,0,0,0
2019-20,NEW YORK,800000048457,310100227822,BETH JACOB ELEMENTARY SCHOOL,JEWISH,14,0,14,19,13,15,26,20,16,0,19,22,0,0,0,0,0
2019-20,NEW YORK,800000084203,310100996176,NORD ANGLIA INTERNATIONAL SCHOOL,INDEPENDENT,16,0,11,11,15,10,9,14,11,0,8,7,0,0,0,0,0
2019-20,NEW YORK,800000085965,310100996205,NEW AMSTERDAM SCHOOL,INDEPENDENT,26,6,0,3,5,10,5,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000086183,310100996213,PATHWAYS CHILDREN'S SERVICES,INDEPENDENT,0,0,1,0,2,0,0,1,2,0,0,0,0,1,1,3,5
2019-20,NEW YORK,800000089846,310100996320,SARA CURRY DAY SCHOOL,INDEPENDENT,0,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000057294,310100999967,GEORGE JACKSON ACADEMY,INDEPENDENT,0,0,0,0,0,0,0,28,38,0,31,27,0,0,0,0,0
2019-20,NEW YORK,800000048273,310200145242,CATHEDRAL HIGH SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,132,110,103,141,486
2019-20,NEW YORK,800000048261,310200145262,DOMINICAN ACADEMY,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,60,62,64,63,249
2019-20,NEW YORK,800000048262,310200145268,EPIPHANY SCHOOL (THE),ROMAN CATHOLIC - ARCHDIOCESE OF NY,90,0,46,39,40,41,48,52,44,0,62,39,0,0,0,0,0
2019-20,NEW YORK,800000048255,310200145281,GUARDIAN ANGEL SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,35,0,10,20,12,19,14,16,17,0,17,10,0,0,0,0,0
2019-20,NEW YORK,800000048257,310200145299,ST IGNATIUS LOYOLA SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,58,62,57,61,61,64,62,0,62,60,0,0,0,0,0
2019-20,NEW YORK,800000048249,310200145309,ST JEAN BAPTISTE HIGH SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,101,70,81,85,337
2019-20,NEW YORK,800000048259,310200145326,ST JOSEPH'S SCHOOL-YORKVILLE,ROMAN CATHOLIC - ARCHDIOCESE OF NY,46,0,39,39,32,29,23,17,27,0,28,15,0,0,0,0,0
2019-20,NEW YORK,800000048247,310200145338,LOYOLA SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,54,65,54,53,226
2019-20,NEW YORK,800000048239,310200145356,MARYMOUNT SCHOOL OF NY,ROMAN CATHOLIC - ARCHDIOCESE OF NY,34,0,48,55,51,47,49,57,59,0,50,56,67,69,61,64,261
