School Name,School District,NYC,CSD,Borough,2019-20 Years of Operation,2019-20 Grades Served,Year Opened,Charter End Date,Authorizer
Bronx Academy of Promise Charter School,NYC CSD 9,Yes,9,The Bronx,12,"0K,01,02,03,04,05,06,07,08",2008,6/30/23,NYC-DoE
Bronx Preparatory Charter School,NYC CSD 9,Yes,9,The Bronx,19,"06,07,08,09,10,11,12",2001,7/31/20,SUNY BoT
Family Life Academy Charter School,NYC CSD 9,Yes,9,The Bronx,19,"0K,01,02,03,04,05",2001,6/30/23,SUNY BoT
Harriet Tubman Charter School,NYC CSD 9,Yes,9,The Bronx,18,"0K,01,02,03,04,05,06,07,08",2002,6/30/21,Board of Regents
Icahn Charter School 1,NYC CSD 9,Yes,9,The Bronx,19,"0K,01,02,03,04,05,06,07,08",2001,7/31/21,SUNY BoT
Icahn Charter School 6,NYC CSD 9,Yes,9,The Bronx,8,"0K,01,02,03,04,05,06,07,08",2012,7/31/22,SUNY BoT
Metropolitan Lighthouse Charter School,NYC CSD 9,Yes,9,The Bronx,10,"0K,01,02,03,04,05,06,07,08,09,10,11",2010,6/30/22,NYC-DoE
Mott Hall Charter School,NYC CSD 9,Yes,7,The Bronx,8,"06,07,08",2012,6/30/22,Board of Regents
Rosalyn Yalow Charter School,NYC CSD 9,Yes,9,The Bronx,5,"0K,01,02,03,04,05,SE",2015,6/30/20,Board of Regents
South Bronx Classical Charter School III,NYC CSD 9,Yes,9,The Bronx,5,"0K,01,02,03,04,05",2015,6/30/20,Board of Regents
South Bronx Classical Charter School IV,NYC CSD 9,Yes,9,The Bronx,3,"0K,01,02,03",2017,6/30/22,Board of Regents
Success Academy Charter School - Bronx 2,NYC CSD 9,Yes,9,The Bronx,10,"0K,01,02,03,04,05,06,07,08,SE",2010,7/31/25,SUNY BoT
Bronx Charter School for the Arts,NYC CSD 8,Yes,8,The Bronx,17,"0K,01,02,03,04,05,06,07",2003,6/30/20,Board of Regents
Emblaze Academy Charter School,NYC CSD 8,Yes,8,The Bronx,2,"05,06",2018,6/30/23,Board of Regents
Girls Preparatory Charter School - Bronx,NYC CSD 8,Yes,8,The Bronx,11,"PK,0K,01,02,03,04,05,06,07,08,SE",2009,7/31/22,SUNY BoT
Grand Concourse Academy Charter School,NYC CSD 8,Yes,8,The Bronx,16,"0K,01,02,03,04,05,06,07,08,SE",2004,7/21/24,SUNY BoT
Hyde Leadership Charter School,NYC CSD 8,Yes,8,The Bronx,14,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",2006,6/30/23,SUNY BoT
Icahn Charter School 7,NYC CSD 8,Yes,8,The Bronx,7,"0K,01,02,03,04,05,06,07,08",2013,7/31/23,SUNY BoT
New Visions Charter High School for Advanced Math and Science II,NYC CSD 8,Yes,8,The Bronx,8,"09,10,11,12,SE",2012,6/30/22,Board of Regents
South Bronx Early College Academy Charter School,NYC CSD 8,Yes,8,The Bronx,5,"06,07,08",2015,6/30/20,Board of Regents
Success Academy Charter School - Bronx 3,NYC CSD 8,Yes,8,The Bronx,7,"0K,01,02,03,04,05,06,07,SE",2013,7/31/23,SUNY BoT
Success Academy Charter School - Bronx 4,NYC CSD 8,Yes,8,The Bronx,6,"0K,01,02,03,04,05,06,SE",2014,7/31/24,SUNY BoT
Academic Leadership Charter School,NYC CSD 7,Yes,7,The Bronx,11,"0K,01,02,03,04,05,06,07,08",2009,6/30/23,SUNY BoT
American Dream Charter School,NYC CSD 7,Yes,7,The Bronx,6,"06,07,08,09,10,11",2014,6/30/24,Board of Regents
Boys Preparatory Charter School of New York,NYC CSD 7,Yes,7,The Bronx,6,"PK,0K,01,02,03,04,05,06",2014,7/31/24,SUNY BoT
Brilla College Preparatory Charter School,NYC CSD 7,Yes,7,The Bronx,7,"0K,01,02,03,04,05,06,07",2013,6/30/23,SUNY BoT
Brilla College Preparatory Charter School Veritas,NYC CSD 7,Yes,7,The Bronx,3,"0K,01,02",2017,7/31/22,SUNY BoT
Bronx Charter School for Children,NYC CSD 7,Yes,7,The Bronx,16,"0K,01,02,03,04,05",2004,6/30/24,Board of Regents
Bronx Global Learning Institute for Girls Charter School,NYC CSD 7,Yes,7,The Bronx,12,"0K,01,02,03,04,05,06,07,08",2008,6/30/21,NYC-DoE
DREAM Charter School Mott Haven,NYC CSD 7,Yes,7,The Bronx,1,0K,2019,-,SUNY BoT
Family Life Academy Charter School 2,NYC CSD 7,Yes,7,The Bronx,8,"0K,01,02,03,04,05,06,07,08",2012,7/31/22,SUNY BoT
Family Life Academy Charter School 3,NYC CSD 7,Yes,7,The Bronx,6,"0K,01,02,03,04",2014,7/31/24,SUNY BoT
Heketi Community Charter School,NYC CSD 7,Yes,7,The Bronx,8,"0K,01,02,03,04,05,SE",2012,7/31/20,SUNY BoT
KIPP Academy Charter School,NYC CSD 7,Yes,7,The Bronx,20,"0K,01,02,03,04,05,06,07,08,09,10,11,12",2000,6/30/24,NYC-DoE
Legacy College Preparatory Charter School,NYC CSD 7,Yes,7,The Bronx,3,"06,07,08,SE",2017,7/31/22,SUNY BoT
Mott Haven Charter School,NYC CSD 7,Yes,7,The Bronx,12,"PK,0K,01,02,03,04,05,06,07,08,SE",2008,6/30/20,NYC-DoE
Neighborhood Charter School: Bronx,NYC CSD 7,Yes,7,The Bronx,1,"0K,01",2019,6/30/23,Board of Regents
New Visions Charter High School for the Humanities II,NYC CSD 7,Yes,7,The Bronx,8,"09,10,11,12,SE",2012,6/30/20,Board of Regents
"New York City Charter High School for Architecture, Engineering & Construction Industries (AECI I)",NYC CSD 7,Yes,7,The Bronx,12,"09,10,11,12",2008,6/30/24,NYC-DoE
New York City Charter High School for Computer Engineering and Innovation (AECI II),NYC CSD 7,Yes,7,The Bronx,1,9,2019,-,Board of Regents
New York City Montessori Charter School,NYC CSD 7,Yes,7,The Bronx,9,"PK,0K,01,02,03,04,05",2011,6/30/22,Board of Regents
South Bronx Charter School for International Cultures and the Arts,NYC CSD 7,Yes,7,The Bronx,15,"0K,01,02,03,04,05,06,07",2005,6/30/23,NYC-DoE
South Bronx Classical Charter School II,NYC CSD 7,Yes,7,The Bronx,7,"0K,01,02,03,04,05,06,07",2013,6/30/23,Board of Regents
South Bronx Community Charter High School,NYC CSD 7,Yes,7,The Bronx,4,"09,10,11,12",2016,6/30/21,Board of Regents
Storefront Academy Charter School,NYC CSD 7,Yes,7,The Bronx,5,"0K,01,02,03,04,05",2015,7/31/19,SUNY BoT
Success Academy Charter School - Bronx 1,NYC CSD 7,Yes,7,The Bronx,10,"0K,01,02,03,04,05,06,07,SE",2010,7/31/25,SUNY BoT
University Prep Charter High School,NYC CSD 7,Yes,7,The Bronx,12,"09,10,11,12",2008,7/31/23,SUNY BoT
University Prep Charter Middle School,NYC CSD 7,Yes,7,The Bronx,1,"05,06",2019,-,SUNY BoT
Zeta Bronx 1 Elementary,NYC CSD 7,Yes,7,The Bronx,2,"0K,01,02",2018,7/31/23,SUNY BoT
Inwood Academy for Leadership Charter School,NYC CSD 6,Yes,6,Manhattan,10,"05,06,07,08,09,10,11,12",2010,6/30/21,NYC-DoE
