id,school_name,borough,building_code,address,city,zip,latitude,longitude,start,end,enrollment,white,black,hispanic,asian,avg_score_math,avg_score_reading,avg_score_writing,percent_tested
02M260,Clinton School Writers and Artists,Manhattan,M933,425 West 33rd Street,Manhattan,10001,40.75321,-73.99786,,,,,,,,,,,
06M211,Inwood Early College for Health and Information Technologies,Manhattan,M052,650 Academy Street,Manhattan,10002,40.86605,-73.92486,8:30 AM,3:00 PM,87,3.4%,21.8%,67.8%,4.6%,,,,
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,111 Columbia Street,Manhattan,10002,40.71873,-73.97943,8:15 AM,4:00 PM,1735,28.6%,13.3%,18.0%,38.5%,657,601,601,91.0%
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,Manhattan,10002,40.71687,-73.98953,8:00 AM,2:45 PM,358,11.7%,38.5%,41.3%,5.9%,395,411,387,78.9%
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,Manhattan,10002,40.71687,-73.98953,8:30 AM,3:00 PM,383,3.1%,28.2%,56.9%,8.6%,418,428,415,65.1%
02M545,High School for Dual Language and Asian Studies,Manhattan,M445,350 Grand Street,Manhattan,10002,40.71687,-73.98953,8:00 AM,3:35 PM,416,1.7%,3.1%,5.5%,88.9%,613,453,463,95.9%
01M292,Henry Street School for International Studies,Manhattan,M056,220 Henry Street,Manhattan,10002,40.71376,-73.98526,8:30 AM,3:30 PM,255,3.9%,24.4%,56.6%,13.2%,410,406,381,59.7%
01M696,Bard High School Early College,Manhattan,M097,525 East Houston Street,Manhattan,10002,40.71896,-73.97607,9:00 AM,3:50 PM,545,45.3%,17.2%,18.7%,17.1%,634,641,639,70.8%
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,Manhattan,10002,40.71687,-73.98953,8:32 AM,3:45 PM,329,2.7%,41.9%,49.2%,5.8%,389,395,381,80.8%
01M509,Marta Valle High School,Manhattan,M025,145 Stanton Street,Manhattan,10002,40.72057,-73.98567,8:00 AM,3:30 PM,363,2.5%,39.9%,51.2%,5.8%,438,413,394,35.6%
01M448,University Neighborhood High School,Manhattan,M446,200 Monroe Street,Manhattan,10002,40.71233,-73.9848,8:15 AM,3:15 PM,304,3.3%,25.0%,41.1%,29.9%,437,355,352,69.9%
02M543,New Design High School,Manhattan,M445,350 Grand Street,Manhattan,10002,40.71687,-73.98953,8:40 AM,2:56 PM,441,3.9%,30.8%,56.9%,5.9%,381,396,372,73.7%
02M298,Pace High School,Manhattan,M131,100 Hester Street,Manhattan,10002,40.71641,-73.99268,9:00 AM,3:15 PM,423,1.9%,28.1%,45.4%,13.7%,430,435,427,87.8%
02M420,High School for Health Professions and Human Services,Manhattan,M475,345 East 15th Street,Manhattan,10003,40.73249,-73.98305,9:00 AM,3:45 PM,1664,7.3%,18.9%,50.9%,22.4%,452,445,430,86.9%
02M399,High School for Language and Diplomacy,Manhattan,M460,40 Irving Place,Manhattan,10003,40.73552,-73.9876,8:00 AM,3:30 PM,437,5.7%,20.4%,40.3%,31.1%,446,433,411,70.2%
02M546,Academy for Software Engineering,Manhattan,M460,40 Irving Place,Manhattan,10003,40.73552,-73.9876,8:45 AM,3:36 PM,344,9.0%,28.8%,45.9%,11.0%,,,,
02M533,Union Square Academy for Health Sciences,Manhattan,M460,40 Irving Place,Manhattan,10003,40.73552,-73.9876,8:00 AM,3:49 PM,319,4.7%,20.1%,56.7%,16.0%,,,,
02M438,International High School at Union Square,Manhattan,M460,40 Irving Place,Manhattan,10003,40.73552,-73.9876,8:45 AM,3:05 PM,353,9.9%,14.2%,45.3%,30.6%,403,330,316,53.2%
